Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
BBCWorld,Sun Aug 26 16:49:09 +0000 2018,"""He was always willing to speak truth to power"" - Tributes to John McCain

https://t.co/VoG3VTnCRu https://t.co/QehdNdHnic",0.141,0.859,0.0,0.3182,36
BBCWorld,Sun Aug 26 16:45:16 +0000 2018,RT @BBCNews: Neil Simon: Celebrated US playwright dies aged 91 https://t.co/S6Ew4Qk73Q,0.27,0.73,0.0,0.5719,37
BBCWorld,Sun Aug 26 16:14:40 +0000 2018,Papal visit: Vigils remember Church abuse victims https://t.co/5rKkCShAxz,0.0,0.48,0.52,-0.7579,38
BBCWorld,Sun Aug 26 15:49:27 +0000 2018,German town evacuated over WW2 bomb https://t.co/ALnTTHQFIC,0.0,0.652,0.348,-0.4939,39
BBCWorld,Sun Aug 26 15:26:39 +0000 2018,Can man's best friend help take down the ivory trade? 🐕🐘 https://t.co/83K8s0IkOA,0.529,0.471,0.0,0.8779,40
BBCWorld,Sun Aug 26 15:26:35 +0000 2018,"RT @BBCNews: Egypt hotel deaths: ""As soon as they went into the bedroom my daughter said she could smell something funny - that wasn't righ…",0.112,0.888,0.0,0.4404,41
BBCWorld,Sun Aug 26 15:20:21 +0000 2018,"RT @bbcworldservice: ""Entangled in a fishing net... it was as torturously sad as anything I've ever seen in my whole life."" The race to sav…",0.0,0.777,0.223,-0.743,42
BBCWorld,Sun Aug 26 14:44:33 +0000 2018,"RT @bbcf1: 🇩🇪 Sebastian Vettel wins! 

Lewis Hamilton finishes second, meaning his lead at the top is cut from 24 points to 17.

Live #Belg…",0.194,0.736,0.07,0.5707,43
BBCWorld,Sun Aug 26 14:35:06 +0000 2018,Afghanistan Islamic State leader 'killed in air strike' https://t.co/SSeOPBElfN,0.0,0.538,0.462,-0.7184,44
BBCWorld,Sun Aug 26 14:07:01 +0000 2018,"RT @BBCNewsNI: ""I was disappointed there isn't going to be a more open and transparent accountability process."" Marie Collins was one of th…",0.0,0.871,0.129,-0.4767,45
BBCWorld,Sun Aug 26 13:46:00 +0000 2018,Australia: Illegal boat runs aground in Queensland crocodile swamp https://t.co/gM9OCV2sPG,0.0,0.714,0.286,-0.5574,46
BBCWorld,Sun Aug 26 12:37:00 +0000 2018,"These endangered birds have no sense of direction, so conservationists came up with a novel way to get them home...… https://t.co/euDXjyNNHL",0.102,0.8,0.098,0.0258,47
BBCWorld,Sun Aug 26 12:04:12 +0000 2018,Iran MPs vote to remove economy minister amid financial crisis https://t.co/8awQ4Nx6rx,0.0,0.709,0.291,-0.6249,48
BBCWorld,Sun Aug 26 11:45:40 +0000 2018,Asian Games: Unified Korea boating team win historic gold https://t.co/mvFQFtOgeq,0.444,0.556,0.0,0.7506,49
BBCWorld,Sun Aug 26 11:20:32 +0000 2018,John McCain: Tributes as Vietnam veteran and six-term senator dies at 81 https://t.co/zzoGkvexyG,0.0,1.0,0.0,0.0,50
BBCWorld,Sun Aug 26 11:06:25 +0000 2018,"It's hard to imagine... but turtles didn't always have shells 🐢

https://t.co/JPw7CqVCck https://t.co/eylvFfokzN",0.0,0.902,0.098,-0.0516,51
BBCWorld,Sun Aug 26 11:01:12 +0000 2018,Five times McCain clashed with Trump https://t.co/9roNpZ3vXX,0.0,1.0,0.0,0.0,52
BBCWorld,Sun Aug 26 10:37:35 +0000 2018,Zimbabwe election: Mnangagwa sworn in as dispute continues https://t.co/YDvuVulh5n,0.0,0.748,0.252,-0.4019,53
BBCWorld,Sun Aug 26 09:51:19 +0000 2018,"Pope Francis asks for ""firm and decisive"" action to secure ""truth and justice"" for survivors of clerical abuse, dur… https://t.co/04DNyxD4Cg",0.342,0.514,0.144,0.5859,54
BBCWorld,Sun Aug 26 09:33:53 +0000 2018,"Pope Francis must ""get his head around"" the struggles of those who have suffered clerical sex abuse, says one survi… https://t.co/4jktBfVkYi",0.0,0.645,0.355,-0.872,55
BBCWorld,Sun Aug 26 08:03:23 +0000 2018,"US war hero, maverick, political titan - the life of John McCain",0.218,0.545,0.236,-0.0772,56
BBCWorld,Sun Aug 26 06:59:35 +0000 2018,Didi Chuxing suspends carpool service after woman killed https://t.co/4mla2ybwgV,0.0,0.64,0.36,-0.6705,57
BBCWorld,Sun Aug 26 05:20:57 +0000 2018,Papal visit: Pope Francis travels to Knock Shrine https://t.co/ydtFDWMODl,0.0,1.0,0.0,0.0,58
BBCWorld,Sun Aug 26 03:29:17 +0000 2018,Julie Bishop 'to resign as foreign minister' https://t.co/y4H5s4MHAp,0.0,0.745,0.255,-0.34,59
BBCWorld,Sun Aug 26 02:22:56 +0000 2018,Meet an ivory trafficker's 'worst nightmare' https://t.co/m28RlziSgY,0.0,0.594,0.406,-0.6249,60
BBCWorld,Sun Aug 26 01:58:13 +0000 2018,Finding a solution to Canada's Indigenous water crisis https://t.co/rcdbQTH7pp,0.185,0.484,0.331,-0.4215,61
BBCWorld,Sun Aug 26 01:55:10 +0000 2018,A Turkish headache for the West https://t.co/V6idaPH5ER,0.0,1.0,0.0,0.0,62
